timestamp,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,WD10M,PS,PRECTOTCORR,solar_zenith,solar_azimuth,poa_global,cell_temperature,dc_power_w,ac_power_w,PV_Power_kW
2020-05-27 05:00:00+00:00,40.17,7.29,37.27,30.67,23.28,1.94,261.1,97.51,0.0,25.526884234021097,100.3108274871447,41.74881758097264,31.760913351092583,203.0988851413527,146.13662607176155,0.14613662607176156
2020-05-27 06:00:00+00:00,183.8,57.23,156.03,33.08,20.84,2.71,266.8,97.54,0.0,13.116117401238128,120.75387075749961,201.91798573683263,37.71791185621302,958.2304257884609,781.4359837561472,0.7814359837561472
2020-05-27 07:00:00+00:00,383.25,200.33,264.49,35.59,18.99,2.8,269.0,97.57,0.0,7.691725219569037,200.65711323242235,441.6859041468723,45.593757568102745,2026.5100721093825,1674.7829993068146,1.6747829993068146
2020-05-27 08:00:00+00:00,563.92,280.44,324.79,39.8,16.06,3.85,274.5,97.6,0.0,17.73106719853223,250.01252191328626,563.5891953712518,50.77886771674235,2527.3721505750436,2091.446560703162,2.091446560703162
2020-05-27 09:00:00+00:00,748.15,458.58,338.64,42.97,13.51,4.37,284.5,97.6,0.0,30.567427453704966,263.89778474354847,690.0393284930201,55.54112901420675,3028.705039337462,2507.107180698684,2.507107180698684
2020-05-27 10:00:00+00:00,889.05,567.14,317.6,44.68,11.88,4.27,290.9,97.57,0.0,43.70873282500336,271.78083728193127,668.2793828450349,57.008331184372345,2913.5867580293375,2411.7847544122,2.4117847544122
2020-05-27 11:00:00+00:00,879.0,499.6,312.27,46.35,10.39,4.24,291.9,97.5,0.0,56.807977485536064,278.06180661340017,520.8187372414516,55.994505667266374,2281.2433001462837,1886.8677686670437,1.8868677686670436
2020-05-27 12:00:00+00:00,911.8,553.82,352.88,46.98,9.51,4.25,290.1,97.43,0.0,69.70459089885709,284.01047618168803,456.1424784093744,55.416147187153214,2003.2304568146244,1655.3829861382867,1.6553829861382867
2020-05-27 13:00:00+00:00,807.1,434.51,348.44,47.23,8.8,4.28,287.7,97.34,0.0,82.21412700660923,290.2630299297308,339.8562543533273,53.491722745440406,1505.6194683198594,1239.9805638019366,1.2399805638019366
2020-05-27 14:00:00+00:00,662.8,451.89,262.33,47.08,8.3,4.21,283.3,97.27,0.0,94.36960251628518,297.32951615529197,256.674612948979,51.851222850394805,1145.5325200982577,938.5250533882363,0.9385250533882363
